888	888	888	888	888	1	1	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	777
888	888	777	888	888	2	2	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888
888	888	4	3	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888
888	888	777	777	888	5	5	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888
777	777	888	888	777	6	6	777	777	777	777	777	777	888	888	888	888	888	888	888	888	888	888	888	888	888	888
777	888	888	888	888	7	8	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888
9	888	888	888	777	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888
888	888	888	10	11	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888
14	14	888	888	18	17	17	12	15	13	16	777	777	888	888	888	888	888	888	888	888	888	888	888	888	14	888
777	777	888	888	777	777	777	19	777	777	777	777	777	888	888	888	888	888	888	888	888	888	888	888	888	888	888
21	21	888	888	20	777	777	777	777	777	777	777	777	888	888	888	888	888	888	888	888	888	888	888	888	21	888
22	22	23	888	777	777	777	777	777	777	777	777	777	888	888	888	888	888	888	888	888	888	888	888	888	22	888
24	24	777	888	777	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	24	888
777	777	888	888	777	777	777	777	777	25	777	777	777	888	888	888	888	888	888	888	888	888	888	888	888	888	888
777	777	888	888	777	777	777	777	26	777	777	777	777	888	888	888	888	888	888	888	888	888	888	888	888	888	888
777	777	888	888	777	777	777	777	777	777	777	29	777	888	888	888	888	888	888	888	888	888	888	888	888	888	888
777	777	888	888	777	777	777	777	777	777	30	777	777	888	888	888	888	888	888	888	888	888	888	888	888	888	777
33	33	888	888	33	33	33	33	33	33	33	888	777	888	888	888	888	888	888	888	888	888	888	888	888	33	888
34	34	888	888	34	34	34	34	34	34	34	888	35	888	888	888	888	888	888	888	888	888	888	888	888	34	888
37	37	777	888	777	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	37	888
38	38	777	888	777	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	38	888
777	777	888	888	888	888	888	888	888	888	888	888	888	888	41	42	43	44	45	46	47	888	888	888	888	777	888
888	888	40	888	40	888	888	888	888	888	888	888	888	888	39	39	39	39	39	39	39	888	888	888	888	888	888
48	48	777	888	777	888	888	888	888	888	888	888	888	888	777	777	777	777	777	777	777	888	888	888	888	48	888
888	888	51	888	51	888	888	888	888	888	888	888	888	888	51	51	51	51	51	51	51	49	50	888	888	888	888
52	52	777	888	777	888	888	888	888	888	888	888	888	888	777	777	777	777	777	777	777	777	777	888	888	52	888
888	888	55	888	55	888	888	888	888	888	888	888	888	888	55	55	55	55	55	55	55	55	55	53	54	888	888
57	56	888	888	888	888	888	888	888	888	888	888	888	888	777	777	777	777	777	777	777	777	777	777	777	58	888
31	31	888	888	31	31	31	31	31	31	31	777	32	888	888	888	888	888	888	888	888	888	888	888	888	31	777
28	28	888	888	28	28	28	28	28	28	28	27	28	888	888	888	888	888	888	888	888	888	888	888	888	28	888
